name	start	end	length	id	type	isfamily	isgroup	is_score	is_expected	is_frame	is_perc_of_orf	is_origin	
completeIS_0.95	2455449	2456939	1491	<unknown id>	ISMae6_orf1 	IS5	IS5	2525.0	0.0	(3, 0)	0.998	Microcystis aeruginosa	1.0	is_name:ISMae6_orf1 	original_orf:498	original_aa_length:497	family:IS5	group:IS5	origin:Microcystis aeruginosa	ntlength:1682.0	orflength:498	numorfs:1.0	sbjct_start:2	sbjct_end:498	expected:0.0	score:2525.0	query_length:1493	query_start:3	identities:489	align_length:497	positives:493	query_end:1493	frame:(3, 0)	bits:977.237	mod_query_start:2455448	mod_query_end:2456938	perc_of_orf:0.998	
completeIS_0.95	1635351	1636757	1407	<unknown id>	ISMae7_orf1 	IS4	IS50	2214.0	0.0	(3, 0)	1.0	Microcystis aeruginosa	1.0	is_name:ISMae7_orf1 	original_orf:469	original_aa_length:469	family:IS4	group:IS50	origin:Microcystis aeruginosa	ntlength:1589.0	orflength:469	numorfs:1.0	sbjct_start:1	sbjct_end:469	expected:0.0	score:2214.0	query_length:1418	query_start:12	identities:455	align_length:469	positives:461	query_end:1418	frame:(3, 0)	bits:857.44	mod_query_start:1635350	mod_query_end:1636756	perc_of_orf:1.0	
completeIS_0.95	2034557	2035951	1395	<unknown id>	ISMae7_orf1 	IS4	IS50	2203.0	0.0	(-1, 0)	0.991	Microcystis aeruginosa	1.0	is_name:ISMae7_orf1 	original_orf:469	original_aa_length:465	family:IS4	group:IS50	origin:Microcystis aeruginosa	ntlength:1589.0	orflength:469	numorfs:1.0	sbjct_start:1	sbjct_end:465	expected:0.0	score:2203.0	query_length:1415	query_start:9	identities:454	align_length:465	positives:457	query_end:1403	frame:(-1, 0)	bits:853.203	mod_query_start:2034556	mod_query_end:2035950	perc_of_orf:0.991	
completeIS_0.95	613802	614983	1182	<unknown id>	ISMae41_orf1 	IS200/IS605	IS1341	2067.0	0.0	(-1, 0)	0.997	Microcystis aeruginosa	1.0	is_name:ISMae41_orf1 	original_orf:395	original_aa_length:394	family:IS200/IS605	group:IS1341	origin:Microcystis aeruginosa	ntlength:1321.0	orflength:395	numorfs:1.0	sbjct_start:1	sbjct_end:394	expected:0.0	score:2067.0	query_length:1184	query_start:3	identities:380	align_length:394	positives:390	query_end:1184	frame:(-1, 0)	bits:800.816	mod_query_start:613801	mod_query_end:614982	perc_of_orf:0.997	
completeIS_0.95	388778	389959	1182	<unknown id>	ISMae41_orf1 	IS200/IS605	IS1341	2066.0	0.0	(-1, 0)	0.997	Microcystis aeruginosa	1.0	is_name:ISMae41_orf1 	original_orf:395	original_aa_length:394	family:IS200/IS605	group:IS1341	origin:Microcystis aeruginosa	ntlength:1321.0	orflength:395	numorfs:1.0	sbjct_start:1	sbjct_end:394	expected:0.0	score:2066.0	query_length:1211	query_start:3	identities:380	align_length:394	positives:388	query_end:1184	frame:(-1, 0)	bits:800.431	mod_query_start:388777	mod_query_end:389958	perc_of_orf:0.997	
completeIS_0.95	3543403	3544584	1182	<unknown id>	ISMae41_orf1 	IS200/IS605	IS1341	2060.0	0.0	(3, 0)	0.997	Microcystis aeruginosa	1.0	is_name:ISMae41_orf1 	original_orf:395	original_aa_length:394	family:IS200/IS605	group:IS1341	origin:Microcystis aeruginosa	ntlength:1321.0	orflength:395	numorfs:1.0	sbjct_start:2	sbjct_end:395	expected:0.0	score:2060.0	query_length:1226	query_start:3	identities:378	align_length:394	positives:389	query_end:1184	frame:(3, 0)	bits:798.119	mod_query_start:3543402	mod_query_end:3544583	perc_of_orf:0.997	
completeIS_0.95	2656470	2657651	1182	<unknown id>	ISMae41_orf1 	IS200/IS605	IS1341	2058.0	0.0	(3, 0)	0.997	Microcystis aeruginosa	1.0	is_name:ISMae41_orf1 	original_orf:395	original_aa_length:394	family:IS200/IS605	group:IS1341	origin:Microcystis aeruginosa	ntlength:1321.0	orflength:395	numorfs:1.0	sbjct_start:2	sbjct_end:395	expected:0.0	score:2058.0	query_length:1226	query_start:3	identities:379	align_length:394	positives:388	query_end:1184	frame:(3, 0)	bits:797.349	mod_query_start:2656469	mod_query_end:2657650	perc_of_orf:0.997	
completeIS_0.95	5079249	5080430	1182	<unknown id>	ISMae41_orf1 	IS200/IS605	IS1341	2052.0	0.0	(3, 0)	0.997	Microcystis aeruginosa	1.0	is_name:ISMae41_orf1 	original_orf:395	original_aa_length:394	family:IS200/IS605	group:IS1341	origin:Microcystis aeruginosa	ntlength:1321.0	orflength:395	numorfs:1.0	sbjct_start:2	sbjct_end:395	expected:0.0	score:2052.0	query_length:1316	query_start:3	identities:377	align_length:394	positives:388	query_end:1184	frame:(3, 0)	bits:795.038	mod_query_start:5079248	mod_query_end:5080429	perc_of_orf:0.997	
completeIS_0.95	2876446	2877627	1182	<unknown id>	ISMae41_orf1 	IS200/IS605	IS1341	2049.0	0.0	(3, 0)	0.997	Microcystis aeruginosa	1.0	is_name:ISMae41_orf1 	original_orf:395	original_aa_length:394	family:IS200/IS605	group:IS1341	origin:Microcystis aeruginosa	ntlength:1321.0	orflength:395	numorfs:1.0	sbjct_start:2	sbjct_end:395	expected:0.0	score:2049.0	query_length:1184	query_start:3	identities:377	align_length:394	positives:387	query_end:1184	frame:(3, 0)	bits:793.882	mod_query_start:2876445	mod_query_end:2877626	perc_of_orf:0.997	
completeIS_0.95	4958004	4959185	1182	<unknown id>	ISMae41_orf1 	IS200/IS605	IS1341	2048.0	0.0	(-1, 0)	0.997	Microcystis aeruginosa	1.0	is_name:ISMae41_orf1 	original_orf:395	original_aa_length:394	family:IS200/IS605	group:IS1341	origin:Microcystis aeruginosa	ntlength:1321.0	orflength:395	numorfs:1.0	sbjct_start:1	sbjct_end:394	expected:0.0	score:2048.0	query_length:1184	query_start:3	identities:377	align_length:394	positives:386	query_end:1184	frame:(-1, 0)	bits:793.497	mod_query_start:4958003	mod_query_end:4959184	perc_of_orf:0.997	
completeIS_0.95	883068	884252	1185	<unknown id>	ISMae41_orf1 	IS200/IS605	IS1341	2047.0	0.0	(-1, 0)	1.0	Microcystis aeruginosa	1.0	is_name:ISMae41_orf1 	original_orf:395	original_aa_length:395	family:IS200/IS605	group:IS1341	origin:Microcystis aeruginosa	ntlength:1321.0	orflength:395	numorfs:1.0	sbjct_start:1	sbjct_end:395	expected:0.0	score:2047.0	query_length:1226	query_start:42	identities:375	align_length:395	positives:388	query_end:1226	frame:(-1, 0)	bits:793.112	mod_query_start:883067	mod_query_end:884251	perc_of_orf:1.0	
completeIS_0.95	1527130	1528311	1182	<unknown id>	ISMae41_orf1 	IS200/IS605	IS1341	2047.0	0.0	(3, 0)	0.997	Microcystis aeruginosa	1.0	is_name:ISMae41_orf1 	original_orf:395	original_aa_length:394	family:IS200/IS605	group:IS1341	origin:Microcystis aeruginosa	ntlength:1321.0	orflength:395	numorfs:1.0	sbjct_start:2	sbjct_end:395	expected:0.0	score:2047.0	query_length:1241	query_start:3	identities:376	align_length:394	positives:387	query_end:1184	frame:(3, 0)	bits:793.112	mod_query_start:1527129	mod_query_end:1528310	perc_of_orf:0.997	
completeIS_0.95	1916795	1917976	1182	<unknown id>	ISMae41_orf1 	IS200/IS605	IS1341	2047.0	0.0	(-1, 0)	0.997	Microcystis aeruginosa	1.0	is_name:ISMae41_orf1 	original_orf:395	original_aa_length:394	family:IS200/IS605	group:IS1341	origin:Microcystis aeruginosa	ntlength:1321.0	orflength:395	numorfs:1.0	sbjct_start:1	sbjct_end:394	expected:0.0	score:2047.0	query_length:1184	query_start:3	identities:377	align_length:394	positives:387	query_end:1184	frame:(-1, 0)	bits:793.112	mod_query_start:1916794	mod_query_end:1917975	perc_of_orf:0.997	
completeIS_0.95	2908629	2909810	1182	<unknown id>	ISMae41_orf1 	IS200/IS605	IS1341	2045.0	0.0	(3, 0)	0.997	Microcystis aeruginosa	1.0	is_name:ISMae41_orf1 	original_orf:395	original_aa_length:394	family:IS200/IS605	group:IS1341	origin:Microcystis aeruginosa	ntlength:1321.0	orflength:395	numorfs:1.0	sbjct_start:2	sbjct_end:395	expected:0.0	score:2045.0	query_length:1184	query_start:3	identities:376	align_length:394	positives:386	query_end:1184	frame:(3, 0)	bits:792.341	mod_query_start:2908628	mod_query_end:2909809	perc_of_orf:0.997	
completeIS_0.95	1583871	1585052	1182	<unknown id>	ISMae41_orf1 	IS200/IS605	IS1341	2039.0	0.0	(3, 0)	0.997	Microcystis aeruginosa	1.0	is_name:ISMae41_orf1 	original_orf:395	original_aa_length:394	family:IS200/IS605	group:IS1341	origin:Microcystis aeruginosa	ntlength:1321.0	orflength:395	numorfs:1.0	sbjct_start:2	sbjct_end:395	expected:0.0	score:2039.0	query_length:1214	query_start:3	identities:374	align_length:394	positives:386	query_end:1184	frame:(3, 0)	bits:790.03	mod_query_start:1583870	mod_query_end:1585051	perc_of_orf:0.997	
